,label
0,GREYHOUND
1,CARROT
2,YOU
3,THEY
4,SHE
5,MISSOURI
6,WHICH
7,PAPA
8,BY
9,SHE
10,ADULATION
11,MORGANTOWN
12,WE
13,DO
14,JUDITH
15,BUT
16,MULTIFLORA
17,IN
18,UPWARD
19,MANY
20,THREE
21,FAYETTEVILLE
22,UPWARD
23,COME
24,CLERGYMAN
25,PERPETUAL
26,FEATHER
27,ZERO
28,TREE
29,WITH
30,THERE
31,WATCH
32,THAT
33,ITS
34,SHOUT
35,HIS
36,SOUTHEASTERLY
37,HE
38,LIMA
39,BELEAGUERING
40,A
41,YOU
42,FIVE
43,TO
44,VOUCHSAFE
45,BEQUEATH
46,FAITHFULNESS
47,CONVULSION
48,CAN
49,ONE
50,USE
51,ENTER
52,ARE
53,THE
54,INTO
55,MY
56,FIND
57,PROTEGE
58,NODULE
59,ADVICE
60,MAY
61,GET
62,CELEBRITY
63,IT
64,WAS
65,THOU
66,ON
67,BUTTERFLIES
68,IROQUOIS
69,YES
70,ADJACENT
71,ORANGE
72,CHOKING
73,YALE
74,SHOUT
75,CAR
76,LEGISLATURE
77,DRUM
78,APOTHECARY
79,WHEN
80,FEATHER
81,OH
82,DO
83,HANGER
84,THERE
85,NOVEMBER
86,SEE
87,ENTER
88,INALIENABLE
89,BATTLEMENTS
90,OTHER
91,GET
92,NUMBER
93,WERE
94,TAB
95,NO
96,BROWBEAT
97,ITS
98,ONE
99,NAUSEA
100,IF
101,TAB
102,THESE
103,FIND
104,CARROT
105,ENTHUSE
106,FIRST
107,CUSHY
108,BOTH
109,HA-HA
110,IN
111,NATHANIEL
112,HAD
113,HAD
114,PEOPLE
115,CHOKING
116,EQUILIBRIUM
117,ON
118,INDIA
119,MIKE
120,BY
121,MULTIFLORA
122,ZERO
123,IS
124,THEN
125,WHO
126,SCHOOLYARD
127,DODGERS
128,ECHO
129,TAB
130,WAGON
131,WHICH
132,THAT
133,ROMEO
134,REJOINDER
135,CAN
136,PASTE
137,QUEBEC
138,WE
139,BIRMINGHAM
140,NOVEMBER
141,MY
142,HE
143,GIGGLED
144,PROTEGE
145,I
146,LIKE
147,COPY
148,FIRST
149,WAY
150,FOIL
151,HAS
152,DISPOSSESS
153,COMMAND
154,COME
155,YELLOW
156,ESCAPE
157,BETROTH
158,ADVICE
159,A
160,HALLELUJAH
161,DURABLE
162,ALL
163,CRAYON
164,OF
165,BALL
166,AT
167,X-RAY
168,ROOF
169,SLIDE
170,ROMEO
171,STARS
172,IS
173,WERE
174,GLASSES
175,ABSOLVE
176,WAS
177,ALOFT
178,GET
179,FROM
180,APPROACH
181,INDIA
182,BLUE
183,OSCAR
184,DAY
185,NOW
186,LAMP
187,THE
188,CUP
189,HOTEL
190,THIS
191,OSCAR
192,ROLY-POLY
193,BEQUEATH
194,WHAT
195,OIL
196,FIVE
197,SCISSORS
198,BATTLEMENTS
199,FINGER
200,ABOUT
201,ADAPT
202,PART
203,BATHE
204,TWO
205,ADAPT
206,ATROCIOUS
207,WE
208,DELETE
209,SO
210,SEVEN
211,WHEREWITHAL
212,OSCAR
213,INDIA
214,DRUM
215,GET
216,DISSATISFACTION
217,PART
218,BOSOM
219,ESCAPE
220,THE
221,ESCAPE
222,LINE
223,HAS
224,JUDITH
225,CHAUFFEUR
226,FLOWERS
227,FROG
228,USE
229,QUACK
230,YOUR
231,HAD
232,LEFT
233,SHE
234,CHOWDER
235,HOW
236,COPENHAGEN
237,ANYBODY
238,BALLOONS
239,KILO
240,FOUR
241,EPITHET
242,YOUR
243,RENDEZVOUS
244,APPRECIABLE
245,FOUR
246,BETOOK
247,LAWYER
248,BOGIES
249,UP
250,SIX
251,CONTROL
252,DID
253,OF
254,GO
255,THEM
256,GET
257,INTO
258,IT
259,NOT
260,HIM
261,AUTOBIOGRAPHY
262,BROTHERHOOD
263,ARE
264,INEXHAUSTIBLE
265,WHAT
266,THE
267,WORD
268,HIS
269,IN
270,TOOTHACHE
271,BEHAVIOR
272,DOWNWARD
273,DELETE
274,WITH
275,FINGER
276,COMMAND
277,BRUSH
278,UP
279,SOOTHING
280,MOUSTACHE
281,ZULU
282,WITHOUT
283,NO
284,EMILIO
285,PASTE
286,BATHTUB
287,DID
288,DID
289,CUT
290,SEVEN
291,BETOOK
292,BELEAGUERING
293,ARE
294,HE
295,WORD
296,WHEN
297,GOLF
298,BULRUSH
299,THUMB
300,CHAUFFEUR
301,DURABLE
302,FIRST
303,YOUR
304,EACH
305,ABSORB
306,THEM
307,EACH
308,SEVEN
309,THEM
310,BULGE
311,HOTEL
312,GIGGLED
313,WOULD
314,YOUR
315,ASTOUNDED
316,COMMAND
317,AS
318,MORE
319,SUPREME
320,PROMULGATE
321,SAID
322,TO
323,CALL
324,CONTROL
325,LIMA
326,DISPLEASURE
327,WITH
328,EMPLOYMENT
329,A
330,BY
331,PROFESSIONALS
332,AN
333,UP
334,AT
335,DOWRY
336,ASIA
337,STRINGY
338,BULGE
339,OF
340,GIRL
341,ABSOLVE
342,HOUSE
343,CANDLELIGHT
344,LIKE
345,CHOWDER
346,VACUUM
347,ABSORB
348,BALLOONS
349,BURROWS
350,HAD
351,AN
352,THESE
353,BUT
354,OTHER
355,BRAVO
356,YES
357,SIERRA
358,QUEBEC
359,CHATTERBOX
360,FRUGALITY
361,CHOICE
362,CHAUFFEUR
363,LETHARGY
364,WORD
365,FOR
366,LONG
367,HER
368,HAS
369,FISHING
370,DELTA
371,HER
372,BATTLEFIELD
373,IF
374,PYTHON
375,BABYHOOD
376,SIX
377,YANKEE
378,SOME
379,OR
380,NOT
381,CHAUFFEUR
382,COMMAND
383,EACH
384,SAID
385,NOT
386,MIKE
387,MAY
388,FOIL
389,SUPREME
390,JACKDAWS
391,NOT
392,EYEBROWS
393,ALOOF
394,OSCAR
395,WAS
396,SAID
397,HAVE
398,BATHTUB
399,ANYTHING
400,HER
401,RING
402,TOIL
403,TO
404,OH
405,PAJAMAS
406,HAVE
407,TANGO
408,TIME
409,MISSOURI
410,BACKSPACE
411,WAGON
412,FIVE
413,BEEN
414,WHAT
415,YALE
416,SOUTHEASTERLY
417,HARANGUING
418,ZIPPER
419,BROWBEAT
420,GOUGED
421,THIS
422,WORD
423,SHE
424,ONE
425,CAN
426,VOUCHSAFE
427,WHEN
428,FOOTMARKS
429,WHICH
430,WAY
431,OR
432,PASTE
433,FIVE
434,GIGGLED
435,DO
436,REFUGEE
437,YOU
438,ALT
439,FOUR
440,SYMPATHIZE
441,CHOKING
442,NOW
443,OBSERVATION
444,YANKEE
445,MAKE
446,BOGIES
447,ON
448,CALL
449,ZULU
450,INTO
451,BROIL
452,UPWARD
453,BERSERKER
454,SO
455,EYEBROWS
456,AVENUES
